iso_code,country,year,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,share_global_coal_co2,share_global_oil_co2,share_global_gas_co2,share_global_flaring_co2,share_global_cement_co2,cumulative_coal_co2,cumulative_oil_co2,cumulative_gas_co2,cumulative_flaring_co2,cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_oil_co2,share_global_cumulative_gas_co2,share_global_cumulative_flaring_co2,share_global_cumulative_cement_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
IND,India,1858,0.395,,,,,,0.002,,0.139,0.395,0.006,,,,,0.395,,,,,,0.002,,,,,0.139,,,,,0.395,,,,,0.006,,,,,,,,,,,,,,203277120,
IND,India,1859,0.638,61.344,0.242,,,,0.003,,0.212,1.033,0.015,,,,,0.638,,,,,,0.003,,,,,0.212,,,,,1.033,,,,,0.015,,,,,,,,,,,,,,204119968,
IND,India,1860,0.644,1.042,0.007,,,,0.003,,0.195,1.677,0.023,,,,,0.644,,,,,,0.003,,,,,0.195,,,,,1.677,,,,,0.023,,,,,,,,,,,,,,204966304,
IND,India,1861,0.498,-22.68,-0.146,,,,0.002,,0.143,2.175,0.028,0.002,,,,0.498,,,,,,0.002,,,,,0.144,,,,,2.175,,,,,0.028,,,,,,,,,,,,,,205817904,2.27E+11
IND,India,1862,0.551,10.667,0.053,,,,0.003,,0.156,2.727,0.034,,,,,0.551,,,,,,0.003,,,,,0.156,,,,,2.727,,,,,0.034,,,,,,,,,,,,,,206674832,
IND,India,1863,0.611,10.843,0.06,,,,0.003,,0.162,3.338,0.039,,,,,0.611,,,,,,0.003,,,,,0.162,,,,,3.338,,,,,0.04,,,,,,,,,,,,,,207537088,
IND,India,1864,0.578,-5.435,-0.033,,,,0.003,,0.142,3.916,0.044,,,,,0.578,,,,,,0.003,,,,,0.142,,,,,3.916,,,,,0.044,,,,,,,,,,,,,,208404720,
IND,India,1865,0.568,-1.724,-0.01,,,,0.003,,0.131,4.484,0.048,,,,,0.568,,,,,,0.003,,,,,0.132,,,,,4.484,,,,,0.048,,,,,,,,,,,,,,209277760,
IND,India,1866,0.641,12.865,0.073,,,,0.003,,0.144,5.125,0.053,,,,,0.641,,,,,,0.003,,,,,0.144,,,,,5.125,,,,,0.053,,,,,,,,,,,,,,210156224,
IND,India,1878,1.77,176.166,,,,,0.008,,0.251,6.895,0.041,,,,,1.77,,,,,,0.008,,,,,0.255,,,,,6.895,,,,,0.041,,,,,,,,,,,,,,221105392,
IND,India,1879,1.687,-4.678,-0.083,,,,0.008,,0.224,8.582,0.048,,,,,1.614,,,0.073,,,0.007,,,0,,0.217,0.578,,,,8.509,0.073,,,,0.048,0.09,,,,,,,,,,,,,222060832,
IND,India,1880,1.89,12.013,0.203,,,,0.008,,0.221,10.473,0.056,,,,,1.78,,,0.11,,,0.008,,,0,,0.212,0.715,,,,10.289,0.183,,,,0.056,0.189,,,,,,,,,,,,,223020384,
IND,India,1881,1.843,-2.514,-0.048,,,,0.008,,0.209,12.315,0.063,,,,,1.744,,,0.099,,,0.008,,,0,,0.202,0.574,,,,12.033,0.282,,,,0.062,0.247,,,,,,,,,,,,,223974528,
