iso_code,country,year,fossil_cons_per_capita 
IND,India,1985,165.823
IND,India,1986,180.913
IND,India,1987,206.648
IND,India,1988,215.665
IND,India,1989,239.736
IND,India,1990,246.088
IND,India,1991,270.307
IND,India,1992,286.461
IND,India,1993,307.169
IND,India,1994,319.625
IND,India,1995,355.373
IND,India,1996,370.642
IND,India,1997,386.547
IND,India,1998,399.905
IND,India,1999,432.776
IND,India,2000,374.147
IND,India,2001,384.217
IND,India,2002,392.935
IND,India,2003,403.67
IND,India,2004,421.103
IND,India,2005,428.228
IND,India,2006,445.725
IND,India,2007,456.099
IND,India,2008,476.318
IND,India,2009,515.715
IND,India,2010,530.77
IND,India,2011,557.459
IND,India,2012,595.27
IND,India,2013,608.263
IND,India,2014,670.884
IND,India,2015,696.722
IND,India,2016,744.996
IND,India,2017,764.519
IND,India,2018,794.872
IND,India,2019,765.964
